review,sentiment
"i watch this film with horror in my heart because my mother also was a crack head like Michelle. i've been wondering where Michelle is now. there has been times where i had to find my mother in places i was scared to be but more scared to leave her there! to see Michelle act like that made me wonder where she was sleeping all that time?? i watched in hopes the it was never that bad for my mom! and what i want to know is... where did Matt and Tracy ""tear that ass up""?! worst scene for me was watching Tracy shoot up in an old navy dressing room!!!! u never who try clothes on before you and it looks like all of them except Michelle has aids!!!! where are they know 2008? can we get an update??????????",positive
"Brian Keith as Cole Wlikerson and Richard Jaeckel as Wade Matlock make excellent villains. They just love intimidating the locals in the most brutal way possible, and sneer sexily at any suggestion that there might be a more humane way to achieve their ends. It's a pity that goody-goody Glenn Ford gets in their way.",positive
<br /><br />Robot jox is a great little film ok some of the sets are bad and the acting is not that great but the special effects are very good for a film of this size and age. You have to remember that this film is over 10 years old now and was made very cheaply in the 1st place so you cant moan to much about the bad parts. So just sit back and watch a cool film with great big robots in it.,positive
"Another attempt by modern Japanese directors to redefine the chambara genre. Successful, and not, in varying degrees.<br /><br />Buddhist monk has a vision that he is to slay a legendary (and very active) demon at the Gojoe bridge in order to attain enlightenment. While not at the forefront, Buddhist thought is at the heart of this movie, much like Kurosawa's ""Ran"". It probably what made the movie the most interesting to me although it's nowheres near ""Ran's"" league. <br /><br />Stylish visual direction and excellent photography keep the movie mostly interesting throughout the two hour and eighteen minute length. The lead actors are uniformly excellent. The music is really good. The two weaknesses are the story and the fight scenes. The movie drags in the middle which could have been fixed by some prudent editing. And the fight scenes are mostly filmed in blurry close-ups. This works for most of the film but the finale feels like a cheat. Another recent film like this is Tsui Hark's ""Seven Swords"", great film but the promised fight scenes are disappointing. Asano really doesn't move like a sword wielding demon, his acting is great but he would be an extra in a traditional chambara fight scene.<br /><br />Good movie, you'll probably find it interesting just don't expect traditional sword fights.",positive
"How i deserved to watch this crap??? Worst ever. The acting was awful, when i read that this was a comedy i expected at least to smile, once - or twice, but.... If you are wiling to loose hour and a half of your lives, this is the right movie. I recommend just look in a wall or something, anything else but watch this ""film"". Yoy can even watch a documentary (if you are a guy) about pregnant women, i guarantee it will be more entertaining :)The actor in this one (i forgot his name) is not that bad, and i am surprised how hi accepted the role. Anyway ""I want someone to eat cheese with"" is the right film if you want to punish someone.",negative
"Now I had the pleasure of first viewing Contaminated Man when it premiered on TV back in December of 2000.<br /><br />An infectious disease expert (William Hurt) looses his family when an unknown disease enters his home and kills them. Now some years later he is now in Russia or someplace. I'm not sure where exactly, all I know is it takes place somewhere in that area. Anyway, because of budget cutbacks at an infectious disease laboratory, they are forced to lay off most of their workers. One of them, a disgruntled security guard named Joseph Muller (played Peter Weller, best known for his role as the indestructible Robocop) goes in there and demands that they give him his job back. He needs this job because he is divorced and he needs it to pay child support. So he goes in there, a fight breaks out, and some things get knocked over, dangerous things. It's soon discovered that Muller has been infected with a deadly pathogen. In fact it's so deadly, one drop of his blood will kill a person in matter of seconds. Soon word gets out and the disease expert (Hurt) is called in to investigate and he later teamed up with an American reporter. Now Muller is determined to get home to see his wife and son and will stop at nothing even if he has to infect the entire Russian population.<br /><br />Now as I said before this film is a lot like Falling Down. We have a disturbed person (Weller here, Michael Douglas in Falling Down) who will stop at nothing to accomplish there goal even if they have to kill a few people in the process. Next we have a hero-type person (Hurt here, Robert Duvall in Falling Down) who is both sympathetic and determined to stop the antagonist.<br /><br />Contaminated Man is in fact a very good film with a good story line and some very good performances.<br /><br />8/10",positive
"I like bad films, but this thing is a steaming heap. From the shaky cameramen to the horrible sound and devastating acting, don't waste a second on this pile. Fifth graders could have made a better film and first graders could have written a better script. Want a real synopsis? Ugly chicks in neon bikinis dancing for way too long. A disjointed plot made worse by hideous acting. The on-location sets weren't even passable. The church scenes take place in a dance studio, and oh yeah - what's with the two tap-dance numbers that come up out of the blue?<br /><br />Oh, and the total number of naked breasts, which couldn't have even saved this film - 0. Add this one to the trash heap.",negative
"Set in and near a poor working class town in the mountains of rural Italy, it's a story of madness. The landscape may be quite picturesque, but there's madness herein, concealed behind the mask of a person who seems outwardly normal. This person kills little children.<br /><br />In style and tone this film resembles Dario Argento's famous Italian giallos, those fascinating whodunit horror films, except that Argento's films are much better looking. Still, the visuals in Fulci's ""Don't Torture A Duckling"" are competent, with some interesting compositions and lighting. Lightning and thunder on a rainy night enhances suspense in one sequence wherein one of the ""ducklings"" is vulnerably alone.<br /><br />In one sequence the gore is a bit overdone. But this is no slasher film. A legitimate theme undergirds the story. And that theme is that madness can take many unexpected forms, not just the obvious delusions of people who practice voodoo or black magic.<br /><br />Plenty of red herrings render the puzzle solution difficult if the viewer doesn't assume an agenda on the part of the director. Don't dismiss someone who might not seem to be a suspect. The twist near the end provides good misdirection. However, in one scene midway through, a line of dialogue could have been added to clarify the relationship between two characters, one of whom is the murderer. The film's finale takes place on a beautiful mountaintop with the wind whistling in the background. We see flashbacks to clues and get insights into the killer's mindset.<br /><br />I don't care for the film's widescreen projection. But background music is effective, and ranges from jarringly creepy at the beginning to low-key jazz, to indigenous Italian songs. Acting is generally average, though in a couple of cases, it's a bit overdone.<br /><br />Though not as visually brilliant as Argento's giallos, ""Don't Torture A Duckling"" nevertheless is a fine film, one that contains a thematic storyline and enough of a whodunit puzzle to interest most viewers who like thrillers and murder mysteries.",positive
"One more of those brilliant young men who went all out and dared to make a teen romance film( can i actually call it that?- it would invoke the devil out of its fans)on a micro budget but packed with such taste, sensitiveness and maturity. Peter Sollett- you deserve more admiration and respect.Thanks once again for demonstrating to the powers that be in the ""industry"" that stereotypes can be flushed down the toilet. One location,a handful of rich characters, low budget,good acting(and that too amateurs),decent lighting - worshippers of true indie cinema should watch more of this and STOP watching...well...you know what.",positive
"THHE2 is entertaining in that you'll laugh a lot and cringe and probably say ""oh sh*t!"" and ""get your face away from the goddamn hole you dumb**s"" or things along those lines but I don't know if its really worth seeing- I was very annoyed throughout the entirety with the horrible military characters who don't seem to know the first thing about combat.<br /><br />Yes there was more violence, gore, and a higher body count than the first one but I am still am debating whether that cancels out my feeling throughout the whole movie about how ridiculous it is (and not a good ridiculousness like Dead Alive or Feast). My time would have been better spent watching Aja's remake for the 5th time.<br /><br />So go for some laughs, or go for some gore, but don't go hoping to come out of it satisfied.",negative
